radial	chord	t_c	rigid
1			
1	177		
0	5.38	100	1
5	5.38	100	1
5.5	5.44213284969402	98.8582996518081	1
6	5.43978355492536	98.9009938663601	1
6.5	5.44181416671157	98.8640889817647	1
7	5.44797326873023	98.752320076158	1
7.5	5.45800944465894	98.5707345241904	1
8	5.4716712781753	98.3246201477609	1
8.5	5.48870735295692	98.0194361628999	1
9	5.50886625268138	97.6607482053379	1
9.5	5.53189656102629	97.2541684510799	1
10	5.55754686166923	96.8053015820022	1
10.5	5.58556573828782	96.3196970921189	1
11	5.61570177455964	95.8028081970553	1
11.5	5.64770355416229	94.6859163708649	1
12	5.68131966077338	93.0972806288539	1
12.5	5.71629867807049	91.4761299480643	1
13	5.75238918973122	89.8307060420204	1
13.5	5.78933977943318	88.1686988629348	1
14	5.82689903085396	86.4972437168026	1
14.5	5.86481552767115	84.8229260415664	1
15	5.90283785356236	83.1517926813829	1
15.5	5.94071459220518	81.4893685479666	1
16	5.97819432727721	79.8406776389415	1
16.5	6.01502564245604	78.2102674762414	1
17	6.05095759252754	76.602230165011	1
17.5	6.08579198299452	75.019587596644	1
18	6.11943085754398	73.4638361778215	1
18.5	6.15178747382743	71.9361683606604	1
19	6.18277508949638	70.437630664439	1
19.5	6.21230696220237	68.9691353425201	1
20	6.24029634959689	67.5314715076951	1
20.5	6.26665650933146	66.12531572489	1
21	6.2913006990576	64.7512420847728	1
21.5	6.31414217642682	63.4097317757061	1
22	6.33509419909064	62.1011821748164	1
22.5	6.35407002470057	60.8259154817879	1
23	6.37098291090812	59.5841869214255	1
23.5	6.38574611536482	58.3761925431536	1
24	6.39827289572217	57.2020766475131	1
24.5	6.40847650963169	56.0619388714601	1
25	6.4162702147449	54.9558409659445	1
25.5	6.4215672687133	53.8838133009274	1
26	6.42428092918842	52.8458611347712	1
26.5	6.42432445382177	51.8419706868872	1
27	6.42161110026487	50.8721150547443	1
27.5	6.41605412616922	49.9362600189323	1
28	6.40756678918634	49.034369783048	1
28.5	6.39606234696775	48.1664126988596	1
29	6.38145405716497	47.3323670316591	1
29.5	6.3636551774295	46.532226826119	1
30	6.34257896541286	45.7660079395354	1
30.5	6.31813867876657	45.0337543173428	1
31	6.29024757514215	44.3355445955422	1
31.5	6.25881891219109	43.671499126602	1
32	6.22376594756493	43.0417875399682	1
32.5	6.18500193891517	42.4466369661951	1
33	6.14672503490131	41.8571420460701	1
33.5	6.04316733838523	41.7228305730349	1
34	5.94201187850874	41.5842451791824	1
34.5	5.84325014841661	41.4414419916565	1
35	5.74687091960028	41.2944834742554	1
35.5	5.65286032143755	41.1434388866487	1
